"炙る","あぶる","to warm (e.g. one's hands over a fire), to dry; to toast, to grill, to broil, to roast, to scorch"
"雨戸","あまど","sliding storm shutter"
"甘やかす","あまやかす","to pamper, to spoil"
"余る","あまる","to remain, to be left over, to be in excess, to be too many"
"編み物","あみもの","knitting, knitted material, crochet"
"編む","あむ","to knit, to plait, to braid; to compile (anthology, dictionary, etc.), to edit"
"危うい","あやうい","dangerous, in danger, facing imminent danger; precarious (situation), perilous (state, balance, etc.), in doubt, in jeopardy, uncertain, insecure, concerning, worrying"
"怪しい","あやしい","suspicious, dubious, questionable, dodgy, shady, fishy; doubtful, unsure, uncertain, unlikely, implausible; untrustworthy, unreliable, clumsy, awkward, shaky, poor; strange, weird, eerie, spooky, uncanny; ominous (e.g. weather), threatening, dangerous (e.g. financial situation), uncertain; suspicious (of a potential amorous relation); mysterious, bewitching, alluring, enticing, enchanting"
"荒い","あらい","rough, wild, violent, rude, coarse, harsh, fierce, heavy (e.g. breathing); immoderate, extravagant, reckless"
"粗い","あらい","coarse, rough"
"粗筋","あらすじ","outline, summary, argument"
"争う","あらそう","to compete, to contest, to contend; to quarrel, to argue, to dispute, to be at variance, to oppose; to deny (e.g. evidence)"
"改めて","あらためて","another time, again, over again, once again, anew; formally, especially, intentionally, deliberately"
"改める","あらためる","to change, to alter, to revise, to replace; to reform, to correct, to mend, to improve; to examine, to check, to inspect; to do properly, to do formally"
"著す","あらわす","to write, to publish"
"有難い","ありがたい","grateful, thankful, welcome, appreciated, evoking gratitude"
"有る","ある","to be, to exist, to live; to have; to be located; to be equipped with; to happen, to come about"
"彼是","あれこれ","this and that, this or that, one thing or another, this way and that; around, about, round about, roughly, nearly, almost"
"慌ただしい","あわただしい","busy, hurried, confused, flurried"
"慌てる","あわてる","to become confused (disconcerted, disorganized, disorganised), to be flustered, to panic; to hurry, to rush, to hasten"
"安易","あんい","easy, simple; easygoing, lighthearted, simplistic, irresponsible, careless, quick (to do)"
"案外","あんがい","unexpectedly, surprisingly; unexpected, unanticipated, unforeseen, surprising"
"","アンテナ","antenna; thing or method used to collect information or opinions"
"言い出す","いいだす","to begin to say, to start talking, to broach (a matter), to bring up, to come out with; to be the first to say, to suggest (doing), to propose"
"言いつける","いいつける","to tell (to do), to order, to charge, to direct; to tell on (someone), to tattle, to report; to often say"
"生き生き","いきいき","in a lively way, vividly, freshly, animatedly, actively, energetically"
"行き成り","いきなり","abruptly, suddenly, all of a sudden, without warning"
"意義","いぎ","meaning, significance"
"育児","いくじ","childcare, child-rearing, nursing, upbringing"
"幾分","いくぶん","somewhat, to some extent, to some degree; some, part, portion"
"生け花","いけばな","ikebana, Japanese art of flower arrangement; fresh flower, natural flower"
"以降","いこう","on and after, from ... onward, since"
"","イコール","equal, equivalent; equals sign, equality sign; equals (as in ""A equals B"")"
"以後","いご","after this, from now on, hereafter; thereafter, since (then), after"
"勇ましい","いさましい","brave, valiant, gallant, courageous; stirring, vigorous, rousing"
"衣食住","いしょくじゅう","food, clothing and shelter, necessities of life"
"意地悪","いじわる","malicious, ill-tempered, unkind"
"一々","いちいち","one-by-one, separately; every single, each and every, without omission, fully, in detail"
"一応","いちおう","more or less, though not quite satisfactorily, after a fashion, pretty much, roughly, so far as it goes; tentatively, for the time being; just in case; once"
"一段","いちだん","even more, still more, much more, further; one step, one rung, one level, one grade, one rank; one paragraph, one passage; ichidan (verb, verb conjugation)"
"一流","いちりゅう","first-class, top grade, foremost, top-notch, leading; characteristic, peculiar, unique; school (e.g. of a performance art); one flag, one banner, one streamer"
"一昨昨日","いっさくさくじつ","two days before yesterday, three days back (ago)"
"一斉","いっせい","simultaneous, all at once"
"一旦","いったん","once; for a short time, briefly, temporarily; one morning"
"一定","いってい","fixed, settled, constant, definite, uniform, regularized, regularised, defined, standardized, standardised, certain, prescribed"
"行ってまいります","いってまいります","good bye, I'm off, see you later"
"行ってらっしゃい","いってらっしゃい","have a good day, take care, see you"
"佚","いつ","being comfortable, relaxing"
"いつの間にか","いつのまにか","before one knows, before one becomes aware of, unnoticed, unawares"
"移転","いてん","moving, relocation, change of address; transfer (of deeds, property, etc.), demise"
"従姉妹","いとこ","cousin (female)"
"緯度","いど","latitude (nav.)"
"井戸","いど","water well"
"威張る","いばる","to put on airs, to act big, to throw one's weight about, to be overbearing, to be domineering, to be bossy, to be pushy, to be proud, to be haughty, to be arrogant, to swagger, to boast, to brag"
"嫌がる","いやがる","to appear uncomfortable (with), to seem to hate, to express dislike"
"愈","いよいよ","more and more, all the more, increasingly; at last, finally, beyond doubt; (at the) last moment, worst possible time"
"炒る","いる","to roast, to parch, to toast, to boil down"
"入れ物","いれもの","container, case, receptacle; coffin, casket"
"","インク","ink"
"","インタビュー","interview (i.e. television, newspaper, etc.)"
"引力","いんりょく","attraction (e.g. magnetic, gravitation), affinity, gravitational pull; attractiveness, magnetism"
"","ウェイトレス","waitress"
"植木","うえき","garden shrubs, trees, potted plant"
"飢える","うえる","to starve, to be famished, to be hungry; to be starved of (e.g. love), to be thirsty for (e.g. knowledge), to be hungry for"
"浮かぶ","うかぶ","to float, to be suspended; to rise to the surface, to appear, to emerge, to show up, to loom (up); to come to mind, to have inspiration"
"浮かべる","うかべる","to float, to set afloat, to launch; to show on one's face (smile, sadness, etc.); to recall, to call to mind, to imagine, to think of"
"浮く","うく","to float; to become merry, to be cheerful; to become loose, to become unsteady; to feel out of it, to be cut off (e.g. from those around you), to feel out of place; to be frivolous, to be uncertain; to have (time, money, etc.) left over, to be saved (e.g. money); to have no basis, to be unreliable"
"承る","うけたまわる","to hear, to be told, to know; to receive (order), to undertake, to comply, to take (a reservation, etc.)"
"受取り","うけとり","receiving, receipt"
"受け持つ","うけもつ","to take (be in) charge of"
"薄暗い","うすぐらい","dim, gloomy"
"薄める","うすめる","to dilute, to water down"
"打ち合わせ","うちあわせ","advance arrangements, preparatory meeting, briefing session; overlap (of a coat, etc.); making something match exactly"
"打ち消す","うちけす","to deny, to contradict; to negate (esp. a sound), to drown out"
"","うっかり","carelessly, thoughtlessly, inadvertently"
"討つ","うつ","to attack, to destroy, to defeat, to conquer, to avenge"
"映す","うつす","to project, to reflect, to cast (shadow)"
"写る","うつる","to be photographed, to be projected"
"映る","うつる","to be reflected, to harmonize with (harmonise), to come out (photo), to be projected, to be displayed (on a screen)"
"饂飩","うどん","udon, thick Japanese wheat noodles"
"有無","うむ","existence or nonexistence, presence or absence; consent or refusal, yes or no"
"埋める","うめる","to bury (e.g. in the ground); to fill up (e.g. audience fills a hall), to cause to be packed; to plug (a gap), to stop (a gap), to bridge (a difference, a gap), to fill (a seat, a vacant position), to fill out; to make up for (a loss, shortage, etc.), to make amends, to compensate for; to put cold water (in a bath); to cover, to scatter something over"
"敬う","うやまう","to show respect for, to revere, to honour, to honor, to worship, to hold in esteem"
"裏返す","うらがえす","to turn inside out, to turn the other way, to turn (something) over"
"裏口","うらぐち","backdoor, rear entrance, rear exit; unauthorized, illicit, illegal"
"占う","うらなう","to tell someone's fortune, to forecast, to predict, to divine"
"恨み","うらみ","resentment, grudge, malice, bitterness; matter for regret, regret"
"恨む","うらむ","to bear a grudge against, to resent, to blame, to curse, to feel bitter towards"
"羨ましい","うらやましい","envious, jealous; enviable (position, etc.)"
"羨む","うらやむ","to envy, to be envious of, to be jealous of"
"売り上げ","うりあげ","amount sold, sales, proceeds, takings, turnover"
"売り切れ","うりきれ","sold-out"
"売り切れる","うりきれる","to be sold out"
"売れ行き","うれゆき","sales, demand"
"","うろうろ","restlessly, aimlessly, without purpose; to loiter, to drift, to hang about doing nothing, to wander aimlessly, to be restless; to be restless, to fuss, to be in a fidget"
"運河","うんが","(navigable) canal, waterway"
"","うんと","a great deal, very much, a lot; with a great amount of effort"
"","ウーマン","woman"
"","ウール","wool"
"英文","えいぶん","English writing, English sentence, English text; English literature, English lit"
"英和","えいわ","English-Japanese; English-Japanese dictionary"
"液体","えきたい","liquid"
"","エチケット","politeness, good manners, courtesy, etiquette; (wine) label"
"","えっと","let me see, well, errr ..., uhh ..."
"絵の具","えのぐ","paint, coloring materials, colors, colours"
"","エプロン","apron; apron (airport); apron (stage)"
"偉い","えらい","great, excellent, admirable, remarkable, distinguished, important, celebrated, famous, eminent; very troublesome, awful, terrible; tiring, tough; very, extremely"
"宴会","えんかい","party, banquet, reception, feast, dinner"
"園芸","えんげい","horticulture, gardening"
"演劇","えんげき","drama, theatre, theater, play"
"円周","えんしゅう","circumference"
"遠足","えんそく","excursion, outing, trip"
"延長","えんちょう","extension, elongation, prolongation, lengthening; Enchō era (923.4.11-931.4.26)"
"煙突","えんとつ","chimney, smokestack, funnel (of a ship), stovepipe; carrying a passenger without turning on the taximeter"
"追いかける","おいかける","to chase, to run after, to pursue"
"追い越す","おいこす","to pass (e.g. car), to overtake; to surpass, to outstrip, to get ahead of, to outdistance"
"","オイル","oil, petroleum; oil, lubricant, grease; (cooking) oil; (massage) oil, ointment; kerosene; engine oil"
"応援","おうえん","aid, assistance, help, support, reinforcement; cheering, rooting (for), support"
"王女","おうじょ","princess"
"応ずる","おうずる","to answer, to respond, to meet; to satisfy, to accept"
"応接","おうせつ","reception (e.g. of visitors), dealing with"
"応対","おうたい","dealing with (people, customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving"
"往復","おうふく","making a round trip, going and returning, coming and going; round-trip ticket, return ticket; correspondence, exchanging (letters); socializing, visiting one another"
"欧米","おうべい","Europe and America, the West"
"応用","おうよう","(practical) application, putting to practical use; applied (e.g. physics, linguistics, research)"
"大雑把","おおざっぱ","rough (estimate, manner, etc.), crude, broad, loose, careless (work)"
"大通り","おおどおり","main street"
"大凡","おおよそ","about, roughly, approximately; generally, on the whole, as a rule; completely, quite, entirely, altogether, totally, not at all (with neg. verb); outline, gist"
"お帰り","おかえり","return; welcome home"
"お掛け下さい","おかけください","please sit down, please have a seat"
"お陰様で","おかげさまで","thankfully, fortunately, luckily, by God's grace, under the gods' shadow; thanks to your (his, their, everyone's, etc.) kindness, thanks to your assistance, thanks to your support, thanks to your efforts"
"お菜","おかず","small dish (usu. one of several accompanying rice), side dish; fill, fill-in (drumming); jack-off material, something to masturbate to"
"お代わり","おかわり","another helping, second helping, seconds, refill; command to have dog place its second paw in one's hand"
"拝む","おがむ","to assume the posture of praying, to press the palms and fingers of both hands together, to do reverence (e.g. before a statue of the Buddha), to pay one's respects; to beg, to make a supplication; to see (something or someone of high status)"
"お気の毒に","おきのどくに","my sympathies, that's too bad, my condolences"
"補う","おぎなう","to supplement, to make up for, to compensate for, to cover (a shortage, loss, etc.), to fill (e.g. a vacancy)"
"屋外","おくがい","outdoors, outside"
"奥さん","おくさん","wife, your wife, his wife, married lady, madam"
"送り仮名","おくりがな","kana written after a kanji to complete the full (usually kun) reading of the word, declensional kana ending"
"怠る","おこたる","to be negligent in doing something, to shirk, to be off one's guard"
"押さえる","おさえる","to pin down, to hold down, to press down; to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part); to get a hold of, to obtain, to seize, to catch, to arrest; to grasp (a point), to comprehend; to quell, to subdue, to suppress, to repress, to hold back, to check, to curb, to contain"
"お先に","おさきに","before, previously; ahead; pardon me for leaving (before you)"
"治める","おさめる","to govern, to manage; to subdue"
"収める","おさめる","to pay (fees, taxes, etc.), to dedicate, to make an offering; to supply; to put away (in), to keep, to store; to finish, to bring to a close; to restore (something to its place); to achieve (e.g. a result)"
"惜しい","おしい","regrettable, disappointing, unfortunate; precious, dear, valuable; too good for, deserving better; almost (but not quite), close (but no cigar)"
"お洒落","おしゃれ","smartly dressed, stylish, fashion-conscious; someone smartly dressed; to dress up, to be fashionable"
"お辞儀","おじぎ","bow, bowing"
"伯父さん","おじさん","uncle; old man, mister; manybar goatfish (Parupeneus multifasciatus)"
"お邪魔します","おじゃまします","please excuse the intrusion, I'm coming in"
"教わる","おそわる","to be taught, to learn, to take lessons in"
"お大事に","おだいじに","take care of yourself, get well soon, God bless you, bless you"
"落ち着く","おちつく","to calm down, to compose oneself, to regain presence of mind; to calm down, to settle down, to die down, to become stable, to abate; to settle down (in a location, job, etc.), to settle in; to be settled, to be fixed, to have been reached; to harmonize with, to harmonise with, to match, to suit, to fit; to be unobtrusive, to be quiet, to be subdued"
"お手伝いさん","おてつだいさん","maid"
"お出かけ","おでかけ","about to start out, just about to leave or go out; outing, trip"
"落とし物","おとしもの","lost property, something dropped and left behind"
"一昨日","おととい","day before yesterday"
"一昨年","おととし","year before last"
"大人しい","おとなしい","gentle, quiet, mild, meek, obedient, docile, well-behaved, tame; quiet (color, pattern, etc.), sober"
"脅かす","おどかす","to threaten, to menace, to intimidate; to startle, to frighten, to scare"
"驚かす","おどろかす","to surprise, to frighten, to create a stir"
"お願いします","おねがいします","please"
"各々","おのおの","each; you (plural)"
"お早う","おはよう","good morning"
"伯母さん","おばさん","aunt"
"お参り","おまいり","visit (to a shrine, grave, etc.), worship"
"お待たせしました","おまたせしました","thank you for waiting, sorry to have kept you waiting"
"お待ちどおさま","おまちどおさま","I'm sorry to have kept you waiting"
"お目出度い","おめでたい","special, auspicious, happy; naive, innocent, good-natured, gullible, foolish"
"思いがけない","おもいがけない","unexpected, contrary to expectations, by chance, casual"
"思い込む","おもいこむ","to be convinced (that), to be under the impression (that), to feel sure (that), to assume (that); to make up one's mind, to set one's heart on, to be determined (to do), to be bent on; to be obsessed (with a thought, idea, etc.), to think about obsessively"
"思いっきり","おもいっきり","to one's heart's content, as much as one wants, as hard as one can, with all one's strength, to the best of one's ability, to the utmost, with determination, hard, heavily; resolution, decisiveness, determination, resignation"
"思いつく","おもいつく","to think of, to hit upon, to come into one's mind, to be struck with an idea; to remember, to recall"
"重たい","おもたい","heavy, weighty; heavy (feeling, atmosphere, etc.), serious, gloomy, depressing"
"お休み","おやすみ","holiday, day off, absence; sleep, rest; good night"
"お八つ","おやつ","between-meal snack; mid-afternoon (around 3 o'clock) snack, afternoon refreshment, afternoon tea"
"親指","おやゆび","thumb; big toe"
"","オルガン","organ (musical instrument)"
"卸す","おろす","to sell wholesale; to grate (e.g. vegetables); to cut up fish"
"恩恵","おんけい","grace, favor, favour, blessing, benefit"
"温室","おんしつ","greenhouse, hothouse, conservatory, glasshouse"
"温泉","おんせん","hot spring; onsen, hot spring resort, hot spring spa"
"温帯","おんたい","temperate zone"
"御中","おんちゅう","... and Company, Messrs, for the attention of ..."
"女の人","おんなのひと","woman"
"","オーケストラ","orchestra"
"","オートメーション","automation"
"","オーバコート","overcoat"
"蚊","か","mosquito"
"貝","かい","shellfish; seashell, shell"
"開会","かいかい","opening of a meeting"
"会館","かいかん","meeting hall, assembly hall"
"改札","かいさつ","examination of tickets; ticket gate, ticket barrier"
"解散","かいさん","breaking up (a meeting, gathering, etc.), dispersal (e.g. of a crowd); dissolution (of a company, organization, etc.), winding-up, disbandment, split-up; dissolution (of the Diet, Parliament, etc.)"
"海水浴","かいすいよく","swimming in the ocean, sea bathing, seawater bath, going for a dip in the ocean"
"回数","かいすう","number of times, frequency, count"
"回数券","かいすうけん","coupon tickets, discount tickets, book of tickets"
"快晴","かいせい","clear weather, cloudless weather, good weather"
"改正","かいせい","revision, amendment, alteration"
"解説","かいせつ","explanation, commentary, exposition, elucidation"
"改造","かいぞう","remodeling, remodelling, reconstruction, conversion, alteration, renovation, modification, reshuffling (e.g. a cabinet), reorganization, restructuring; modding"
"開通","かいつう","opening (of a new road, railway, etc.), going into operation (e.g. telephone communication), beginning services; reopening (e.g. of a road to traffic), resumption of services"
"回転","かいてん","rotation, revolution, turn, spin; working (e.g. of one's mind), function; turnover (of goods, funds, etc.), circulation, flow (of customers); rotation, curl; slalom (alpine skiing event)"
"回答","かいとう","reply, answer"
"解答","かいとう","answer, solution"
"開放","かいほう","opening (a door, window, etc.), leaving open; opening up (e.g. to the public), allowing (public) access"
"解放","かいほう","release, unleashing, liberation, emancipation, setting free; deallocation (of computer memory)"
"海洋","かいよう","ocean"
"帰す","かえす","to send (someone) back, to send (someone) home"
"却って","かえって","on the contrary, rather, instead, all the more"
"返る","かえる","to return, to come back, to go back; to turn over; to become extremely, to become completely"
"換える","かえる","to replace; to exchange, to interchange; to substitute"
"家屋","かおく","house, building"
"関わる","かかわる","to be affected, to be influenced; to be concerned with, to have to do with; to stick to (opinions)"
"書留","かきとめ","registered mail, registered post, registration (of mail); (putting on) record, writing down, noting down, registry"
"書き取り","かきとり","writing down from other written material, writing kanji text from hiragana; transcription (of spoken material), dictation"
"垣根","かきね","hedge, fence; border, limit"
"掻く","かく","to scratch; to perspire; to shovel, to paddle"
"架空","かくう","fictitious, imaginary, fanciful, fabricated; aerial, overhead"
"各自","かくじ","each (person), everyone, individual, respective"
"拡充","かくじゅう","expansion"
"各地","かくち","every place, various places"
"拡張","かくちょう","expansion, extension, enlargement; escape, ESC"
"角度","かくど","angle"
"格別","かくべつ","particular, special, exceptional, especial; particularly, especially, exceptionally"
"確率","かくりつ","probability, likelihood, chances"
"嗅ぐ","かぐ","to sniff, to smell"
"掛け算","かけざん","multiplication"
"可決","かけつ","approval, adoption (of a motion, bill, etc.), passage"
"下降","かこう","descent, fall, drop, decline, downturn, subsidence"
"火口","かこう","(volcanic) crater, caldera; burner (of a boiler)"
"重なる","かさなる","to be piled up, to lie on top of one another; to come one after another, to happen over and over, to pile up (e.g. stress), to accumulate; to overlap (each other), to occur at the same time, to happen simultaneously"
"重ねる","かさねる","to pile up, to heap up, to stack up, to put on top of another; to repeat many times over, to go through repeatedly, to accumulate"
"飾り","かざり","decoration, ornament, trimmings"
"火山","かざん","volcano"
"畏まりました","かしこまりました","certainly!"
"貸出","かしだし","lending, loaning"
"過失","かしつ","accident (caused by negligence), error, blunder; fault, defect"
"貸間","かしま","room to let, room for rent"
"貸家","かしや","house for rent"
"箇所","かしょ","place, point, part, spot, area, passage, portion; counter for places, parts, passages, etc."
"果実","かじつ","fruit, nut, berry; fruits, profit"
"過剰","かじょう","excess, surplus, superabundance, overabundance"
"齧る","かじる","to gnaw, to nibble, to bite, to munch, to crunch; to dabble in, to have a smattering of"
"","カセット","cassette (tape); game cartridge"
"下線","かせん","underline, underscore"
"課税","かぜい","taxation"
"加速","かそく","acceleration, speeding up"
"加速度","かそくど","acceleration"
"硬い","かたい","hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy"
"片仮名","かたかな","katakana, angular Japanese syllabary used primarily for loanwords"
"片付く","かたづく","to be put in order, to be put to rights; to be disposed of, to be solved; to be finished; to be married (off)"
"塊","かたまり","lump, mass, bundle, clump, clod, cluster; group, crowd; embodiment (of an idea, quality, feeling etc.), personification"
"固まる","かたまる","to harden, to solidify; to become firm, to become certain; to gather (together), to assemble, to huddle together"
"片道","かたみち","one-way (trip); one-way ticket"
"傾く","かたむく","to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to; to go down (sun), to wane, to sink, to decline"
"偏る","かたよる","to lean (to one side), to incline; to be unbalanced (e.g. diet), to be unduly weighted towards, to be concentrated on; to be partial, to be biased, to be prejudiced"
"括弧","かっこ","brackets, parentheses"
"担ぐ","かつぐ","to shoulder, to carry on one's shoulder; to nominate for a position, to choose as a representative; to take (someone) for a ride, to deceive, to take in; to be caught up in superstition"
"活字","かつじ","printing type, movable type; printed text, print"
"活躍","かつやく","activity (esp. energetic or successful), great efforts, active participation; walking about with great vigor"
"活力","かつりょく","vitality, energy, dynamism"
"仮定","かてい","assumption, supposition, hypothesis; supposition"
"過程","かてい","process, course, mechanism"
"課程","かてい","course, curriculum"
"仮名","かな","kana, Japanese syllabary (i.e. hiragana, katakana)"
"仮名遣い","かなづかい","kana orthography, syllabary spelling"
"鐘","かね","bell (often a large hanging bell), chime"
"加熱","かねつ","heating, application of heat"
"兼ねる","かねる","to be unable to, to find difficult (unpleasant, awkward, painful) to do; to serve two or more functions or roles simultaneously, to contain (or combine) two or more features; to work in two or more jobs simultaneously (positions, etc.), to do alongside; to hesitate to do something (out of consideration for others); to think of the future (as well as the present)"
"過半数","かはんすう","majority"
"","カバー","cover, covering, dust jacket; cover song, cover version; coverage; to compensate for (a loss), to offset (a weakness), to back up"
"被せる","かぶせる","to cover (with something), to put on (e.g. on someone else's head), to plate something (with a metal), to pour or dash a liquid (on something), to charge (a person with a guilt)"
"釜","かま","iron pot, kettle"
"紙くず","かみくず","wastepaper, scrap of paper, paper scraps"
"神様","かみさま","God, god; ace, king, superior person, god (amongst men)"
"剃刀","かみそり","razor"
"貨物","かもつ","cargo, freight; money or assets"
"痒い","かゆい","itchy"
"歌謡","かよう","song, ballad"
"殻","から","shell, husk, hull, pod, chaff"
"揶揄う","からかう","to tease, to make fun of, to poke fun at, to make a crack about, to chaff, to kid, to joke, to banter, to pull someone's leg"
"空っぽ","からっぽ","empty, vacant, hollow"
"","カラー","color, colour; hair colouring (coloring); political color, political leaning"
"歌留多","かるた","karuta (traditional Japanese playing cards; esp. hyakunin isshu karuta)"
"枯れる","かれる","to wither (of a plant), to be blasted, to die; to mature (of one's personality, abilities, etc.)"
"","カロリー","calorie"
"可愛がる","かわいがる","to be affectionate to, to treat tenderly, to dote on, to show one's love (for), to cherish; to show favouritism to, to be partial to; to fondle, to caress, to pet; to be tough on, to be rough with, to torment, to train harshly"
"乾かす","かわかす","to dry (clothes, etc.), to desiccate"
"渇く","かわく","to be thirsty, to feel thirsty; to thirst for, to crave"
"為替","かわせ","money order, draft; exchange (e.g. foreign)"
"瓦","かわら","roof tile"
"替わる","かわる","to succeed, to relieve, to replace; to take the place of, to substitute for, to take over for, to represent, to hand over (telephone); to be exchanged, to change (places with), to switch"
"間隔","かんかく","space, interval; space character, whitespace"
"換気","かんき","ventilation"
"感激","かんげき","deep emotion, impression, inspiration"
"関西","かんさい","Kansai, region consisting of Osaka, Kobe, Kyoto and surrounding prefectures; Kansai, south-western half of Japan (during the feudal era)"
"鑑賞","かんしょう","appreciation (of art, music, poetry, etc.)"
"感ずる","かんずる","to feel, to sense"
"間接","かんせつ","indirection, indirectness"
"乾燥","かんそう","dryness, aridity, drying (e.g. clothes), dehydration, desiccation; insipidity"
"感想","かんそう","impressions, thoughts, feelings, reactions"
"観測","かんそく","observation, survey, measurement; opinion, prediction, thinking"
"寒帯","かんたい","frigid zone"
"勘違い","かんちがい","misunderstanding, mistaken idea, wrong guess"
"官庁","かんちょう","government office, government agency, authorities"
"缶詰","かんづめ","canned food, tinned food; confining someone (e.g. so they can concentrate on work); being stuck in a confined space"
"乾電池","かんでんち","dry cell, battery"
"関東","かんとう","Kantō, region consisting of Tokyo and surrounding prefectures; Kantō, north-eastern half of Japan (during the feudal era)"
"観念","かんねん","idea, notion, concept, conception; sense (e.g. of duty); resignation (to one's fate), acceptance, preparedness; observation and contemplation, meditation"
"看板","かんばん","signboard, sign, billboard, hoarding, doorplate; draw, attraction, feature, highlight, spokesman, figurehead; reputation (of a shop), name; appearance, look, show; closing (for the day, esp. of a restaurant or bar), closing time"
"乾杯","かんぱい","cheers, bottoms-up, prosit; toast, drink (in honor or celebration of someone or something); drinking one's glass dry"
"看病","かんびょう","nursing (a patient)"
"冠","かんむり","traditional cap worn by Shinto clergy and courtiers; crown, diadem, coronet; top kanji radical; first verse of a haikai, etc.; best, peerless, first; name, title, named sponsorship of a program, event, team, etc."
"漢和","かんわ","China and Japan; Chinese and Japanese (languages); dictionary with Japanese definitions of kanji and kanji compounds, kanji dictionary"
"","カーブ","curve, turn, bend; curveball, curve ball"
"外部","がいぶ","outside (e.g. of a building), exterior; outside (of a group, company, etc.), outside world"
"概論","がいろん","introduction, outline, general remarks"
"学術","がくじゅつ","science, learning, scholarship, arts and sciences, academic pursuits"
"学年","がくねん","academic year, school year; year in school, grade in school"
"学部","がくぶ","department of a university; undergraduate (course, program, etc.)"
"学力","がくりょく","scholarly ability, scholarship, knowledge, literary ability"
"学科","がっか","study subject, course of study; department (university, etc.)"
"学会","がっかい","learned society, scientific society, academy, academic meeting, academic conference"
"楽器","がっき","musical instrument"
"学級","がっきゅう","(school) class"
"","ガム","chewing gum; gum, rubber"
"気圧","きあつ","atmospheric pressure"
"機械","きかい","machine, mechanism; instrument, appliance, apparatus"
"機関車","きかんしゃ","locomotive, engine"
"着替え","きがえ","changing clothes, change of clothes"
"飢饉","ききん","famine, crop failure; chronic shortage (e.g. of water)"
"器具","きぐ","utensil, implement, tool, instrument, appliance, apparatus"
"期限","きげん","term, period, time frame; time limit, deadline, cutoff (date)"
"記号","きごう","symbol, code, sign, notation"
